MOF_name,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,LPD,PLD,SA_grav,VF,PSSD,density,Fugacity,chg,bond_length,eps_eff,sig_eff,loading,PC1,PC2
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2OH_2B_2OH,0.0,0.0,0.00650289,0.0,0.00017113,0.0,0.0,0.00393596,0.0,0.0,0.0,0.0,0.00068451,5.704e-05,0.00171129,0.0,0.0,0.0,0.0,0.0,27.06174,18.20501,6082.817138,0.895456,6.79282775598134,4.6248103894482,150000.0,0.0,0.0,55.0,3.0,0.3155868,3.0666502723103144,-0.8569860095727094
OPT_stu_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.0045714,0.0,0.0,0.0001203,0.0,0.0027669,0.0,0.0,0.0,0.0,0.0004812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.06171,32.26996,7656.57517,0.946652,9.06351940663688,8.2451810029596,1000.0,0.9,1.2,195.0,5.1,0.04749298,6.678383150920723,-0.9571527254404312
OPT_ucp_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.00399401,0.0,0.0,0.00010511,0.0,0.00241743,0.0,0.0,0.0,0.0,0.00042042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81173,32.59221,7629.816166,0.95368,13.221542026563,9.4371479048422,82500.0,0.0,0.0,250.0,4.6,1.6675557,8.494163250414116,0.10807040024859241
OPT_stu_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.0045714,0.0,0.0,0.0001203,0.0,0.0027669,0.0,0.0,0.0,0.0,0.0004812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.06171,32.26996,7656.57517,0.946652,9.06351940663688,8.2451810029596,57500.0,0.0,0.0,250.0,4.6,1.2327952,6.678383150920723,-0.9571527254404312
OPT_pyr_sym_6_mc_3_sym_3_on_2_2B_4H,0.0,0.0,0.00725905,0.0,0.0,0.0,0.0,0.00435543,0.0,0.0,0.0,0.0,0.00096787,0.0,0.0,0.0,8.066e-05,0.0,0.00032262,0.0,17.35999,14.73698,6666.207239,0.911902,2.29333446708517,4.6519271249036,10000000.0,0.0,0.0,55.0,3.6,19.158623,1.911234403733371,-2.51149079568498
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2CH3_2B_2CH3,0.0,0.0,0.00655898,0.00172605,0.0001726,0.0,0.0,0.007422,0.0,0.0,0.0,0.0,0.00069042,5.753e-05,0.0,0.0,0.0,0.0,0.0,0.0,25.75827,18.54409,6523.425401,0.863916,6.56998347605756,4.7073072255416,82500.0,0.0,0.0,105.0,3.0,0.23837423,3.0109127975187993,-1.0233015463988095
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_4Br,0.00417061,0.0,0.00755924,0.0,0.0,0.0,0.0,0.00130332,0.0,0.0,0.0,0.0,0.00104265,0.0,0.0,0.00052133,0.00052133,0.0,0.0,0.00039099,39.43731,37.72159,1017.6188,0.752905,15.9590660887201,1.0549144250117,8250000.0,0.9,1.2,95.0,5.1,4.996745,3.3040333521460528,5.353235629053376
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2OH_2B_2OH,0.0,0.0,0.00650289,0.0,0.00017113,0.0,0.0,0.00393596,0.0,0.0,0.0,0.0,0.00068451,5.704e-05,0.00171129,0.0,0.0,0.0,0.0,0.0,27.06174,18.20501,6082.817138,0.895456,6.79282775598134,4.6248103894482,82500.0,0.0,0.0,105.0,3.0,0.23058295,3.0666502723103144,-0.8569860095727094
OPT_lvtb_sym_5_mc_2_sym_5_on_9_1B_4H,0.0,0.0,0.01796746,0.0,0.0,0.00105691,0.0,0.00951218,0.0,0.0,0.0,0.0,0.00422764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98539,6.62164,4221.049522,0.747498,1.36670799157775,1.6719247815125,33500.0,0.9,1.2,30.0,4.3,0.04361153,-1.3189015870837992,-1.294721183588838
OPT_ssa_sym_5_mc_2_2B_4H,0.0,0.0,0.0,0.0,0.148148148,0.074074074,0.0,0.037037037,0.0,0.296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.02308,27.09421,6200.423448,0.926169,7.705582461,5.461415411,9000000.0,0.9,1.1,70.0,4.05,25.33441023,4.318034783744626,-0.5114614869943838
OPT_stx_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.00478131,0.0,0.0,0.00012582,0.0,0.00289395,0.0,0.0,0.0,0.0,0.0005033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.92292,20.85243,7677.384874,0.943745,8.08943238460022,7.8831993125383,82500.0,0.0,0.0,55.0,3.6,0.3240075,5.597725244963404,-1.6436986424687823
OPT_lnj_sym_3_on_2_sym_7_mc_4_2B_4F_2B_4F,0.0,0.0,0.0,0.0,0.208860759,0.018987342,0.009493671,0.0,0.303797468,0.056962025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.21311,17.88866,5262.443104,0.912217,6.276314089,4.389743692,9000000.0,0.9,1.1,160.0,4.55,57.57727899,2.822233976351516,-0.6262332701809749
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_4Br,0.00417061,0.0,0.00755924,0.0,0.0,0.0,0.0,0.00130332,0.0,0.0,0.0,0.0,0.00104265,0.0,0.0,0.00052133,0.00052133,0.0,0.0,0.00039099,39.43731,37.72159,1017.6188,0.752905,15.9590660887201,1.0549144250117,10000000.0,0.9,1.2,125.0,5.1,6.697251,3.3040333521460528,5.353235629053376
OPT_stu_sym_5_mc_2_sym_3_on_2_1B_4H_1B_4H,0.0,0.0,0.00845577,0.0,0.0,0.00036764,0.0,0.00477935,0.0,0.0,0.0,0.0,0.00147057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78985,20.2084,6073.258156,0.898347,6.59104343731527,3.9291657200958,82500.0,0.0,0.0,105.0,3.0,0.22004437,2.8605597358063672,-0.6803545707478541
OPT_tfk_sym_5_mc_2_sym_3_on_2_2B_2NO2_2B_2NO2,0.0,0.0,0.0052828,0.0,0.0,0.00013902,0.0,0.00180727,0.0,0.00139021,0.0,0.00278042,0.00055608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36709,14.675,5299.246166,0.89097,4.41473486821278,4.0977959615589,10000000.0,0.9,1.13,197.0,5.08,44.053326,1.8359651660182374,-1.2705375153574614
OPT_stu_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.0045714,0.0,0.0,0.0001203,0.0,0.0027669,0.0,0.0,0.0,0.0,0.0004812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.06171,32.26996,7656.57517,0.946652,9.06351940663688,8.2451810029596,1000.0,0.0,1.2,95.0,3.6,0.00166154,6.678383150920723,-0.9571527254404312
OPT_ucp_sym_5_mc_2_sym_3_on_2_2B_4H_2B_4H,0.0,0.0,0.00399401,0.0,0.0,0.00010511,0.0,0.00241743,0.0,0.0,0.0,0.0,0.00042042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81173,32.59221,7629.816166,0.95368,13.221542026563,9.4371479048422,150000.0,0.0,0.0,250.0,4.1,2.00498,8.494163250414116,0.10807040024859241
OPT_lvtb_sym_5_mc_2_sym_5_on_11_2B_4H,0.0,0.0,0.0,0.0,0.224137931,0.034482759,0.0,0.017241379,0.0,0.327586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34505,12.81034,6959.857291,0.900961,2.192444472,4.281216435,9000000.0,0.0,0.0,60.0,3.25,17.43831515,1.627598314414742,-2.632844880955884
OPT_lvtb_sym_5_on_9_sym_5_mc_2_1B_4H,0.0,0.0,0.01892996,0.0,0.0,0.00111353,0.0,0.01002174,0.0,0.0,0.0,0.0,0.00445411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4864,6.43713,3292.604808,0.732602,1.36044715140442,1.5869152135048,33500.0,0.9,1.2,30.0,4.3,0.04151869,-1.653321837897352,-0.9349930234291436
OPT_lnj_sym_3_on_1_sym_7_mc_4_2B_2CN_2B_2CN,0.0,0.00130524,0.00456832,0.0,8.158e-05,0.0,0.0,0.00130524,0.00130524,0.00048946,0.0,0.0,0.00032631,2.719e-05,0.0,0.0,0.0,0.0,0.0,0.0,27.16977,17.17287,6311.267885,0.90154,6.73642944431562,4.8743349476463,150000.0,0.0,0.0,55.0,3.0,0.33072853,3.161203150839722,-1.0710170679248752
