MOF_name,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,LPD,PLD,SA_grav,VF,PSSD,density,Fugacity,chg,bond_length,eps_eff,sig_eff,prediciton
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,55,3.0,0.0809741
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,55,3.6,0.11952925
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,55,4.1,0.18347335
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,55,4.6,0.25842643
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,105,3.0,0.16807032
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,105,3.6,0.32727337
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,105,4.1,0.5719285
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,150000,0.0,0.0,105,4.6,0.8827343
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,55,3.0,0.3433187
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,55,3.6,0.46558428
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,55,4.1,0.6258335
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,55,4.6,0.8184196
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,105,3.0,0.67981637
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,105,3.6,1.1300135
OPT_acs_sym_7_mc_4_1B_2Br,0.00299399,0,0.01197598,0,0.001497,0,0,0.00299399,0,0,0,0,0.00598799,0.000499,0,0,0,0,0,0,8.79475,6.99795,1635.734636,0.688489,2.15646115472952,0.9186541031062,575000,0.0,0.0,105,4.1,1.6434206
